id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution,,Crime_Map,,lat&long
156,-122.358726,47.577303,5,0,0,79,0,,76,,"(47.577303,-122.358725999999)"
157,-122.3418977,47.577303,54,0,0,29,2,,263,,"(47.577303,-122.341897666666)"
158,-122.3250693,47.577303,93,0,0,246,6,,525,,"(47.577303,-122.325069333333)"
159,-122.308241,47.577303,80,0,0,334,19,,489,,"(47.577303,-122.308241)"
160,-122.2914127,47.577303,81,1,1,458,16,,868,,"(47.577303,-122.291412666666)"
161,-122.2745843,47.577303,6,0,0,43,0,,117,,"(47.577303,-122.274584333333)"
168,-122.409211,47.5616188,1,0,0,156,0,,135,,"(47.5616188,-122.409211)"
169,-122.3923827,47.5616188,63,0,1,562,1,,718,,"(47.5616188,-122.392382666666)"
170,-122.3755543,47.5616188,30,0,0,389,4,,456,,"(47.5616188,-122.375554333333)"
171,-122.358726,47.5616188,5,0,0,119,0,,117,,"(47.5616188,-122.358725999999)"
172,-122.3418977,47.5616188,77,1,1,42,21,,382,,"(47.5616188,-122.341897666666)"
173,-122.3250693,47.5616188,41,0,0,292,5,,514,,"(47.5616188,-122.325069333333)"
174,-122.308241,47.5616188,32,1,0,459,3,,881,,"(47.5616188,-122.308241)"
175,-122.2914127,47.5616188,143,1,4,750,37,,1193,,"(47.5616188,-122.291412666666)"
176,-122.2745843,47.5616188,14,0,0,263,0,,755,,"(47.5616188,-122.274584333333)"
183,-122.409211,47.5459346,3,0,0,48,0,,58,,"(47.5459346,-122.409211)"
184,-122.3923827,47.5459346,40,0,0,446,0,,496,,"(47.5459346,-122.392382666666)"
185,-122.3755543,47.5459346,76,0,5,330,2,,539,,"(47.5459346,-122.375554333333)"
186,-122.358726,47.5459346,26,0,0,353,0,,360,,"(47.5459346,-122.358725999999)"
187,-122.3418977,47.5459346,15,0,0,21,10,,249,,"(47.5459346,-122.341897666666)"
188,-122.3250693,47.5459346,105,0,0,182,52,,220,,"(47.5459346,-122.325069333333)"
189,-122.308241,47.5459346,69,0,1,142,5,,462,,"(47.5459346,-122.308241)"
190,-122.2914127,47.5459346,76,0,0,465,8,,1065,,"(47.5459346,-122.291412666666)"
191,-122.2745843,47.5459346,187,0,0,389,85,,855,,"(47.5459346,-122.274584333333)"
198,-122.409211,47.5302504,2,0,1,21,0,,51,,"(47.5302504,-122.409211)"
199,-122.3923827,47.5302504,20,0,0,328,0,,448,,"(47.5302504,-122.392382666666)"
200,-122.3755543,47.5302504,66,0,1,389,3,,681,,"(47.5302504,-122.375554333333)"
201,-122.358726,47.5302504,69,2,0,490,15,,741,,"(47.5302504,-122.358725999999)"
202,-122.3418977,47.5302504,20,0,0,147,1,,347,,"(47.5302504,-122.341897666666)"
203,-122.3250693,47.5302504,77,3,2,300,22,,386,,"(47.5302504,-122.325069333333)"
204,-122.308241,47.5302504,0,0,0,0,0,,0,,"(47.5302504,-122.308241)"
205,-122.2914127,47.5302504,30,1,0,372,4,,591,,"(47.5302504,-122.291412666666)"
206,-122.2745843,47.5302504,176,0,0,659,27,,939,,"(47.5302504,-122.274584333333)"
207,-122.257756,47.5302504,2,0,0,26,0,,31,,"(47.5302504,-122.257756)"
213,-122.409211,47.5145662,0,0,0,21,0,,3,,"(47.5145662,-122.409211)"
214,-122.3923827,47.5145662,9,0,1,231,0,,310,,"(47.5145662,-122.392382666666)"
215,-122.3755543,47.5145662,3,0,0,60,0,,95,,"(47.5145662,-122.375554333333)"
216,-122.358726,47.5145662,6,0,0,0,1,,0,,"(47.5145662,-122.358725999999)"
217,-122.3418977,47.5145662,1,0,0,0,0,,0,,"(47.5145662,-122.341897666666)"
218,-122.3250693,47.5145662,4,0,0,0,0,,0,,"(47.5145662,-122.325069333333)"
219,-122.308241,47.5145662,6,0,0,0,0,,5,,"(47.5145662,-122.308241)"
220,-122.2914127,47.5145662,8,0,0,7,0,,20,,"(47.5145662,-122.291412666666)"
221,-122.2745843,47.5145662,26,0,0,347,2,,794,,"(47.5145662,-122.274584333333)"
222,-122.257756,47.5145662,20,1,0,310,1,,483,,"(47.5145662,-122.257756)"
223,-122.2409277,47.5145662,4,1,0,12,0,,31,,"(47.5145662,-122.240927666666)"
