id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution
32,-122.37892,47.734145,0.0,0.0,0.0,0.0,0.0
33,-122.37639575,47.734145,0.0,0.0,0.0,0.0,0.0
34,-122.37387149999999,47.734145,0.0,0.0,0.0,0.0,0.0
35,-122.37134725,47.734145,0.0,0.0,0.0,0.0,0.0
36,-122.36882299999999,47.734145,0.0,0.0,0.0,2.0,0.0
37,-122.36629875,47.734145,0.0,0.0,0.0,0.0,0.0
38,-122.36377449999999,47.734145,0.0,0.0,0.0,0.0,0.0
39,-122.36125025,47.734145,3.0,0.0,0.0,1.0,0.0
40,-122.35872599999999,47.734145,0.0,0.0,0.0,7.0,0.0
41,-122.35620175,47.734145,3.0,0.0,0.0,14.0,2.0
42,-122.35367749999999,47.734145,0.0,0.0,0.0,6.0,0.0
43,-122.35115325,47.734145,0.0,0.0,0.0,7.0,1.0
44,-122.348629,47.734145,6.0,0.0,0.0,22.0,4.0
45,-122.34610475,47.734145,10.0,0.0,0.0,5.0,51.0
46,-122.3435805,47.734145,2.0,0.0,0.0,10.0,1.0
47,-122.34105625,47.734145,0.0,0.0,0.0,17.0,0.0
48,-122.338532,47.734145,0.0,0.0,0.0,9.0,0.0
49,-122.33600775,47.734145,0.0,0.0,0.0,12.0,0.0
50,-122.3334835,47.734145,0.0,0.0,0.0,9.0,0.0
51,-122.33095924999999,47.734145,0.0,0.0,0.0,1.0,0.0
52,-122.328435,47.734145,0.0,0.0,0.0,0.0,0.0
53,-122.32591074999999,47.734145,0.0,0.0,0.0,0.0,0.0
54,-122.3233865,47.734145,0.0,0.0,0.0,0.0,0.0
55,-122.32086224999999,47.734145,0.0,0.0,0.0,0.0,0.0
56,-122.318338,47.734145,0.0,0.0,0.0,0.0,0.0
57,-122.31581374999999,47.734145,1.0,0.0,0.0,3.0,0.0
58,-122.3132895,47.734145,11.0,0.0,0.0,0.0,0.0
59,-122.31076525,47.734145,0.0,0.0,0.0,27.0,0.0
60,-122.308241,47.734145,2.0,0.0,0.0,6.0,0.0
61,-122.30571675,47.734145,0.0,0.0,0.0,17.0,0.0
62,-122.3031925,47.734145,0.0,0.0,0.0,2.0,0.0
63,-122.30066825,47.734145,0.0,0.0,0.0,10.0,0.0
64,-122.298144,47.734145,5.0,0.0,0.0,12.0,0.0
65,-122.29561975,47.734145,12.0,0.0,0.0,19.0,0.0
66,-122.29309549999999,47.734145,14.0,0.0,0.0,11.0,0.0
67,-122.29057125,47.734145,0.0,0.0,0.0,8.0,0.0
68,-122.28804699999999,47.734145,0.0,0.0,0.0,2.0,0.0
69,-122.28552275,47.734145,0.0,0.0,0.0,11.0,0.0
70,-122.28299849999999,47.734145,0.0,0.0,0.0,2.0,0.0
71,-122.28047425,47.734145,0.0,0.0,0.0,0.0,0.0
72,-122.27795,47.734145,0.0,0.0,0.0,0.0,0.0
73,-122.27542575,47.734145,0.0,0.0,0.0,0.0,0.0
74,-122.2729015,47.734145,0.0,0.0,0.0,0.0,0.0
75,-122.27037725,47.734145,0.0,0.0,0.0,0.0,0.0
76,-122.267853,47.734145,0.0,0.0,0.0,0.0,0.0
77,-122.26532875,47.734145,0.0,0.0,0.0,0.0,0.0
78,-122.2628045,47.734145,0.0,0.0,0.0,0.0,0.0
79,-122.26028025,47.734145,0.0,0.0,0.0,0.0,0.0
80,-122.257756,47.734145,0.0,0.0,0.0,0.0,0.0
81,-122.25523175,47.734145,0.0,0.0,0.0,0.0,0.0
82,-122.2527075,47.734145,0.0,0.0,0.0,0.0,0.0
83,-122.25018324999999,47.734145,0.0,0.0,0.0,0.0,0.0
84,-122.247659,47.734145,0.0,0.0,0.0,0.0,0.0
85,-122.24513474999999,47.734145,0.0,0.0,0.0,0.0,0.0
86,-122.2426105,47.734145,0.0,0.0,0.0,0.0,0.0
87,-122.24008625,47.734145,0.0,0.0,0.0,0.0,0.0
88,-122.237562,47.734145,0.0,0.0,0.0,0.0,0.0
89,-122.23503775,47.734145,0.0,0.0,0.0,0.0,0.0
90,-122.2325135,47.734145,0.0,0.0,0.0,0.0,0.0
91,-122.22998925,47.734145,0.0,0.0,0.0,0.0,0.0
92,-122.227465,47.734145,0.0,0.0,0.0,0.0,0.0
93,-122.22494075,47.734145,0.0,0.0,0.0,0.0,0.0
94,-122.2224165,47.734145,0.0,0.0,0.0,0.0,0.0
95,-122.21989225,47.734145,0.0,0.0,0.0,0.0,0.0
96,-122.217368,47.734145,0.0,0.0,0.0,0.0,0.0
97,-122.21484375,47.734145,0.0,0.0,0.0,0.0,0.0
98,-122.21231949999999,47.734145,0.0,0.0,0.0,0.0,0.0
