id,longitude,latitude,Crime_Map
171,-122.35872599999999,47.561618800000005,117.0
172,-122.34189766666667,47.561618800000005,382.0
173,-122.32506933333333,47.561618800000005,514.0
174,-122.308241,47.561618800000005,881.0
175,-122.29141266666666,47.561618800000005,1193.0
176,-122.27458433333334,47.561618800000005,755.0
177,-122.257756,47.561618800000005,0.0
178,-122.24092766666666,47.561618800000005,0.0
179,-122.22409933333333,47.561618800000005,0.0
180,-122.459696,47.54593460000001,0.0
181,-122.44286766666666,47.54593460000001,0.0
182,-122.42603933333332,47.54593460000001,0.0
183,-122.409211,47.54593460000001,58.0
184,-122.39238266666666,47.54593460000001,496.0
185,-122.37555433333333,47.54593460000001,539.0
186,-122.35872599999999,47.54593460000001,360.0
187,-122.34189766666667,47.54593460000001,249.0
188,-122.32506933333333,47.54593460000001,220.0
189,-122.308241,47.54593460000001,462.0
190,-122.29141266666666,47.54593460000001,1065.0
191,-122.27458433333334,47.54593460000001,855.0
192,-122.257756,47.54593460000001,0.0
193,-122.24092766666666,47.54593460000001,0.0
194,-122.22409933333333,47.54593460000001,0.0
195,-122.459696,47.53025040000001,0.0
196,-122.44286766666666,47.53025040000001,0.0
197,-122.42603933333332,47.53025040000001,0.0
198,-122.409211,47.53025040000001,51.0
199,-122.39238266666666,47.53025040000001,448.0
200,-122.37555433333333,47.53025040000001,681.0
201,-122.35872599999999,47.53025040000001,741.0
202,-122.34189766666667,47.53025040000001,347.0
203,-122.32506933333333,47.53025040000001,386.0
204,-122.308241,47.53025040000001,0.0
205,-122.29141266666666,47.53025040000001,591.0
206,-122.27458433333334,47.53025040000001,939.0
207,-122.257756,47.53025040000001,31.0
208,-122.24092766666666,47.53025040000001,0.0
209,-122.22409933333333,47.53025040000001,0.0
210,-122.459696,47.51456620000001,0.0
211,-122.44286766666666,47.51456620000001,0.0
212,-122.42603933333332,47.51456620000001,0.0
213,-122.409211,47.51456620000001,3.0
214,-122.39238266666666,47.51456620000001,310.0
215,-122.37555433333333,47.51456620000001,95.0
216,-122.35872599999999,47.51456620000001,0.0
217,-122.34189766666667,47.51456620000001,0.0
218,-122.32506933333333,47.51456620000001,0.0
219,-122.308241,47.51456620000001,5.0
220,-122.29141266666666,47.51456620000001,20.0
221,-122.27458433333334,47.51456620000001,794.0
222,-122.257756,47.51456620000001,483.0
223,-122.24092766666666,47.51456620000001,31.0
224,-122.22409933333333,47.51456620000001,0.0
